Agencies,ProjID,ProjName,PrimTech,Lat,Long
ARENA,2013/PFD051,"6-F027: Sammy Lee, The development of novel nanocluster-based buffer layers for multi-junction solar cells",Solar PV,-33.910275,151.22337
ARENA,2013/PFD053,"6-F029: Shuhua Peng, Transparent and conductive graphene/polymer thin films with targeted applications in organic photovoltaics",Solar PV,-37.797932,144.962307
ARENA,2013/PFD056,"6-S007: ANU, Thomas Allen, Negatively-charged dielectric films for surface passivation of silicon solar cells",Solar PV,-35.274441,149.120405
ARENA,2013/PFD060,"6-S017: Uni Melbourne, Kyra Schwarz, Time-resolved microspectroscopy of conjugated polymer films for organic photovoltaic applications",Solar PV,-37.797932,144.962307
ARENA,2013/PFD062,"7-F002: Martin Belusko, Fast response dispatchable thermal storage for high temperature CSP",Solar Thermal,-34.801988,138.667893
ARENA,2013/PFD064,"7-F008: Bernard Mitchell, Advanced and industry-ready photoluminescence characterisation of silicon bricks",Solar PV,-33.910275,151.22337
ARENA,2013/PFD065,"7-F010: Hangtao Cui Bi, Thermal evaporation of high efficiency Cu2ZnSnS4 (CZTS) solar cells",Solar PV,-33.910275,151.22337
ARENA,2013/PFD066,"7-F011: David Payne, Nanosphere lithography for controlled fabrication of large-area plasmonic films",Solar PV,-33.910275,151.22337
ARENA,2013/PFD067,"7-F012: , Yajie Jiang, Characterisation of light distribution within silicon solar cells",Solar PV,-33.910275,151.22337
ARENA,2013/PFD068,"7-F017: Murad Tarebjee, Singlet Heterofission in Organic Dimers: A path to efficient organic photovoltaics",Solar PV,-33.910275,151.22337
ARENA,2013/PFD069,"7-F018: Tianshi Qin, Novel solution-processed multilayer D-I-A organic solar cells: Can organic photovoltaic cells potentially be as efficient as their inorganic counterparts?",Solar PV,-37.920354,145.131863
ARENA,2013/PFD070,"7-F019: Peerapat Vithayasrichareon, Generation investment and policy support frameworks for facilitating high solar generation penetrations in Australia?ö?ç?ûs electricity industry",Enabling,-33.910275,151.22337
ARENA,2013/PFD071,"7-F020: Timothy Jones, Lateral optimisation of dye-sensitised thin film photovoltaics",Solar PV,-32.884541,151.728686
ARENA,2013/PFD072,"7-F023: Zi Ouyang, Self patterning dielectric/metal nanostructures for advanced passivation and light trapping for high efficiency solar cells",Solar PV,-33.910275,151.22337
ARENA,2013/PFD073,"7-S001: UNSW, Simon Chung, Practical realisation of a hot carrier solar cell using hafnium nitride",Solar PV,-33.910275,151.22337
ARENA,2013/PFD074,"7-S002: UNSW, Alexander To, Ultra-thin Silicon Solar Cells",Solar PV,-33.910275,151.22337
ARENA,2013/PFD075,"7-S007: UNSW, Gough Lui, Feasibility and design study of point of use low energy photovoitaic-powered ultraviolet light emitting diode water disinfection",Solar PV,-33.910275,151.22337
ARENA,2013/PFD076,"7-S009: UNSW, Tom Keevers, The impact of spin on fundamental optoelectronic processes in organic semiconductors",Solar PV,-33.868487,151.20699
ARENA,2013/PFD077,"7-S010: UNSW, Edward Law, Optimising Concentrated Solar Thermal Operation Using Solar Energy Forecasting",Enabling,-33.910275,151.22337
ARENA,2013/PFD078,"7-S011: University of Sydney, Alexandre La Fontaine, High temperature stainless steels for concentrated solar power",Solar Thermal,-33.867487,151.20699
ARENA,2013/PFD080,"7-S013: UNSW, Sisi Wang, Laser technology in the fabrication of high performance solar cells",Solar PV,-33.910275,151.22337
ARENA,2013/PFD084,"2-IRE002: Uni SA, Ming Liu, Investigation of aluminium alloys as phase change materials for CSP plants running supercritical CO2 power cycles",Solar Thermal,-34.810967,138.620623
ARENA,2013/PFD085,"6-F004: Viktoras Dryza, Guiding the rational design of organic dye sensitisers for solar cell technologies",Solar PV,-37.797932,144.962307
ARENA,2013/RAR003,Lakeland Solar & Storage Project,Large-scale solar,-15.87243,144.861692
ARENA,2013/RAR004,Lord Howe Island Hybrid Renewable Project,Hybrid,-31.529951,159.074533
